Role,Count,Min Salary,Max Salary,Mean Salary,Median Salary,P25 Salary,P75 Salary
3d Designer,4,95037.0,95037.0,95037.0,95037.0,95037.0,95037.0
Alliance Partner Sr. Marketing Manager,5,103584.0,103584.0,103584.0,103584.0,103584.0,103584.0
Business Analyst,4,83617.5,83617.5,83617.5,83617.5,83617.5,83617.5
Director,4,127382.0,127382.0,127382.0,127382.0,127382.0,127382.0
Downstream Marketing Manager,3,81975.5,81975.5,81975.5,81975.5,81975.5,81975.5
Enterprise Application Analyst,3,104622.0,104622.0,104622.0,104622.0,104622.0,104622.0
Healthcare Business Intelligence Analyst Ii,5,93875.0,93875.0,93875.0,93875.0,93875.0,93875.0
It Business Analyst,6,79062.5,79062.5,79062.5,79062.5,79062.5,79062.5
Procurement Manager,4,86351.0,86351.0,86351.0,86351.0,86351.0,86351.0
Product Manager,8,115975.0,115975.0,115975.0,115975.0,115975.0,115975.0
Program Coordinator in Academic Administration,5,59855.0,59855.0,59855.0,59855.0,59855.0,59855.0
Program Manager,5,137313.0,137313.0,137313.0,137313.0,137313.0,137313.0
Program Manager I,4,90055.5,90055.5,90055.5,90055.5,90055.5,90055.5
Senior Software Developer,16,166004.5,166004.5,166004.5,166004.5,166004.5,166004.5
Software Engineer,12,114875.5,137859.0,135943.70833333334,137859.0,137859.0,137859.0
Sr. Multi-function Engineer,3,111389.0,111389.0,111389.0,111389.0,111389.0,111389.0
Ui Developer,9,97038.0,97038.0,97038.0,97038.0,97038.0,97038.0
