Skill,Count,Min Salary,Max Salary,Mean Salary,Median Salary,P25 Salary,P75 Salary
.net,13,84449.0,116269.0,95684.69230769231,97038.0,97038.0,97038.0
adobe xd,9,97038.0,97038.0,97038.0,97038.0,97038.0,97038.0
agile,17,87796.5,137859.0,123766.14705882352,137859.0,101688.0,137859.0
angular,10,97038.0,116269.0,98961.1,97038.0,97038.0,97038.0
artificial intelligence,139,36749.0,166004.5,106594.85971223022,97038.0,86195.0,127382.0
aws,31,77857.5,166004.5,100379.43548387097,97038.0,90055.5,99363.0
azure,3,84920.5,116269.0,95370.0,84920.5,84920.5,100594.75
big data,11,137859.0,137859.0,137859.0,137859.0,137859.0,137859.0
bootstrap,9,97038.0,97038.0,97038.0,97038.0,97038.0,97038.0
c#,13,36749.0,147492.0,96792.38461538461,97038.0,97038.0,97038.0
css,13,76327.0,97038.0,92925.92307692308,97038.0,86959.5,97038.0
cybersecurity,5,36749.0,90055.5,79394.2,90055.5,90055.5,90055.5
data science,11,97038.0,104625.5,98150.5,97038.0,97038.0,97038.0
deep learning,59,68822.5,147492.0,98719.37288135593,92329.0,86195.0,111389.0
excel,115,59855.0,166004.5,107899.08695652174,97038.0,85136.25,137313.0
express,20,76020.5,115975.0,103571.85,111389.0,86751.75,115975.0
ferc,5,137313.0,137313.0,137313.0,137313.0,137313.0,137313.0
figma,9,97038.0,97038.0,97038.0,97038.0,97038.0,97038.0
git,38,79062.5,137859.0,104334.59210526316,97038.0,87306.5,137859.0
github,9,97038.0,97038.0,97038.0,97038.0,97038.0,97038.0
go,113,72415.0,166004.5,111712.63274336283,103584.0,86351.0,137313.0
graphql,9,97038.0,97038.0,97038.0,97038.0,97038.0,97038.0
html,14,76327.0,97038.0,92387.78571428571,97038.0,86959.5,97038.0
"html, css",9,97038.0,97038.0,97038.0,97038.0,97038.0,97038.0
ios,19,77857.5,114875.5,90167.63157894737,90055.5,79062.5,95870.5
java,42,76327.0,166004.5,133514.86904761905,137859.0,97038.0,166004.5
javascript,32,76327.0,166004.5,130251.28125,141136.75,97038.0,166004.5
jquery,9,97038.0,97038.0,97038.0,97038.0,97038.0,97038.0
kafka,12,114875.5,137859.0,135943.70833333334,137859.0,137859.0,137859.0
less,32,36749.0,127382.0,96293.875,97038.0,87306.5,105219.875
machine learning,25,76020.5,147492.0,94545.18,97038.0,84920.5,97038.0
microsoft office,7,76327.0,107469.5,89963.57142857143,87306.5,85462.0,93859.0
mysql,10,97038.0,116269.0,98961.1,97038.0,97038.0,97038.0
oil &amp,5,137313.0,137313.0,137313.0,137313.0,137313.0,137313.0
oracle,19,36749.0,166004.5,150164.1052631579,166004.5,166004.5,166004.5
perl,5,90055.5,127000.0,97444.4,90055.5,90055.5,90055.5
photoshop,5,95037.0,107003.0,97430.2,95037.0,95037.0,95037.0
postgresql,10,97038.0,116269.0,98961.1,97038.0,97038.0,97038.0
power bi,10,83617.5,127000.0,94732.1,91826.5,83617.5,100237.125
prometheus/loki/grafana stack,11,137859.0,137859.0,137859.0,137859.0,137859.0,137859.0
python,7,36749.0,166004.5,102718.14285714286,95884.5,84135.75,126058.75
rest,43,72415.0,137859.0,107078.30232558139,97038.0,86351.0,132620.5
rust,27,76327.0,127382.0,99434.16666666667,103584.0,80576.0,104622.0
sass,10,77115.0,97038.0,95045.7,97038.0,97038.0,97038.0
scala,15,84920.5,127382.0,108055.4,104622.0,98786.25,119385.5
scrum,14,95856.5,137859.0,130218.96428571429,137859.0,137859.0,137859.0
security,33,36749.0,166004.5,99375.93939393939,95856.5,86039.0,127382.0
sketch,5,95037.0,107003.0,97430.2,95037.0,95037.0,95037.0
soa,9,97038.0,97038.0,97038.0,97038.0,97038.0,97038.0
soap,9,97038.0,97038.0,97038.0,97038.0,97038.0,97038.0
spring,18,86039.0,166004.5,158721.47222222222,166004.5,166004.5,166004.5
sql,47,36749.0,166004.5,116256.65957446808,97038.0,92674.75,166004.5
sql server,10,36749.0,101688.0,86912.75,93875.0,86559.0,93875.0
tableau,5,72415.0,104625.5,92051.2,95856.5,91474.5,95884.5
teams,59,51915.0,137313.0,97211.50847457627,98259.0,81975.5,111389.0
typescript,141,36749.0,166004.5,106208.97163120567,97038.0,85225.0,127382.0
ui,141,36749.0,166004.5,106208.97163120567,97038.0,85225.0,127382.0
unity,79,36749.0,147492.0,97494.77848101266,95037.0,85047.5,109429.25
ux,10,36749.0,97038.0,91009.1,97038.0,97038.0,97038.0
"vision, &amp",9,97038.0,97038.0,97038.0,97038.0,97038.0,97038.0
windows,3,36749.0,84920.5,68863.33333333333,84920.5,60834.75,84920.5
world&rsquo;s,6,79062.5,79062.5,79062.5,79062.5,79062.5,79062.5
